ts_day,yield_rate,ma7_yield_rate,ma30_yield_rate
2024-01-01,7.045435398648604e-05,7.045435398648604e-05,7.045435398648604e-05
2024-01-02,0.01288713790719638,0.006478796130591433,0.006478796130591433
2024-01-03,-0.0007142376089017995,0.004081118217427022,0.004081118217427022
2024-01-04,-0.12009233094077704,-0.026962244072123994,-0.026962244072123994
2024-01-05,1.8982529932109853e-06,-0.021569415607100552,-0.021569415607100552
2024-01-06,0.0010870565268392242,-0.01779333691811059,-0.01779333691811059
2024-01-07,0.14666480863078926,0.005700683874589389,0.005700683874589389
2024-01-08,0.0014450678758641934,0.00516873187474874,0.00516873187474874
2024-01-09,0.0013587647287548767,0.005329770671594789,0.004745402191860533
2024-01-10,0.0007060148716154857,0.003807130292147177,0.004341463459836028
2024-01-11,0.001173998819276509,0.004043159845669465,0.004053512128876072
2024-01-12,0.0017132864294658117,0.01926886201694982,0.0038584933205918835
2024-01-13,0.06412148899367975,0.02728381085953564,0.008494108372367875
2024-01-14,0.010060787625766714,0.028405527246901575,0.008606014033324933
2024-01-15,0.20356519417535107,0.035518075439971805,0.021603292709460008
2024-01-16,0.0025119179896784527,0.035651431704198586,0.020410081789473664
2024-01-17,0.002212672657758996,0.035758170195324096,0.01933964595819633
2024-01-18,6.514359149888058e-05,0.03567806128530952,0.018268840271157584
2024-01-19,0.01335385135732083,0.03720054285256506,0.018010156644113543
2024-01-20,0.0034356001641844642,0.037415832069404895,0.01728142882011709
2024-01-21,0.0034622209710292447,0.02983342356657358,0.016623371303493856
2024-01-22,0.0022794596478002984,0.02886075756932778,0.01597137531914415
2024-01-23,0.16641071946451372,0.02421644823047311,0.022512216368942826
2024-01-24,0.005363171634856652,0.024572854936120384,0.021797672838355903
2024-01-25,0.0037009303744158823,0.024758887150702496,0.0210738031397983
2024-01-26,0.002708084524805663,0.025089254767365846,0.02036742934691397
2024-01-27,0.003149870837080952,0.02381375720233586,0.01972974199469793
2024-01-28,0.002483001416833954,0.023694682358917047,0.019113786974059934
2024-01-29,0.0026873402853859365,0.023597822273211635,0.018547357777898763
2024-01-30,0.004360004804899864,0.02385789041784908,0.018074446012132133
2024-01-31,0.21097691235405533,0.029428664529041783,0.0242971062167103
2024-02-01,0.0071258643817986595,0.029649001122409535,0.02452470008857521
2024-02-02,0.0028586422371247753,0.02954371510524815,0.024201200228250317
2024-02-03,0.004182740926579134,0.029728047155469832,0.024359167277781958
2024-02-04,0.0038233750057865773,0.029812235176558035,0.02835644811476788
2024-02-05,0.003599922682200972,0.029951850334728913,0.02847251341893587
2024-02-06,0.003614084411699519,0.03006769335051811,0.02855403044747975
2024-02-07,0.012144458614750796,0.031040750076749477,0.02421466431793012
2024-02-08,0.19350353090236067,0.028856577395287644,0.03041009860910743
2024-02-09,0.006695348187303422,0.02880276287097574,0.030582246462608997
2024-02-10,-0.0006738813768211747,0.028361197419232494,0.03053773368040136
2024-02-11,0.010414131114977557,0.029140121192782295,0.030835802464133654
2024-02-12,0.008359254212139651,0.02970710609357643,0.031050188521639262
2024-02-13,0.0020369560383287715,0.029511735263092403,0.029047461652111813
2024-02-14,0.009312767828367785,0.030224070690175936,0.029023331981227977
2024-02-15,0.01836569184493164,0.03100172484394854,0.023049154486698316
2024-02-16,0.20315357613897092,0.03220798049852482,0.029521466039901297
2024-02-17,0.006086503204775147,0.03213187487570879,0.029646428315611494
2024-02-18,0.0053126406193993074,0.032880190125236346,0.0298157024132857
2024-02-19,0.005049982973067732,0.03220967160749762,0.02954783569121302
2024-02-20,-0.03187176738667446,0.027180793907645853,0.028408888350862735
2024-02-21,0.005867821692788104,0.02765965211445327,0.028486488374145278
2024-02-22,0.0068023735919169985,0.02734585283489692,0.028632388823955496
2024-02-23,0.010432045205005389,0.02635414700490614,0.023600818686552002
2024-02-24,0.11653514408163915,0.015526842997739668,0.027187011346125632
2024-02-25,0.0701803699479735,0.02353857634063946,0.029331509396885554
2024-02-26,-0.0008148363470145809,0.022772641719837724,0.029217866788117157
2024-02-27,0.005896662501622248,0.02287847666090704,0.029306472970844297
2024-02-28,0.00420890674929285,0.027388560927902955,0.029362147336407487
